date/run_id,representation_id,sample_rule,model,parameters,runtime,seed,silhouette,calinski,davies,diagnostics,notes,k
2026-06-05 17:20:35,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=2, n_init=10, max_iter=300",2.2224862575531006,42,0.39213936834594487,54947.16818550779,1.0739325006064275,OK,,
2026-06-05 17:20:50,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=3, n_init=10, max_iter=300",0.2265312671661377,42,0.4520888515516938,63837.212056555596,0.8571178672228462,OK,,
2026-06-05 17:21:04,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=4, n_init=10, max_iter=300",0.35610318183898926,42,0.3751654950557331,61668.24825421074,0.9696359631372058,OK,,
2026-06-05 17:21:18,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=5, n_init=10, max_iter=300",0.3200814723968506,42,0.32738933528733843,62222.294292333776,1.0661226440519598,OK,,
2026-06-05 17:21:31,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=6, n_init=10, max_iter=300",0.539820671081543,42,0.33760310264417553,62314.05307285534,0.993297574801613,OK,,
2026-06-05 17:21:44,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=7, n_init=10, max_iter=300",0.39267921447753906,42,0.35089500928645373,61020.066676031856,0.9786363518450264,OK,,
2026-06-05 17:21:56,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=8, n_init=10, max_iter=300",0.4345061779022217,42,0.34285216001067553,58920.983992302434,0.9689149424417207,OK,,
2026-06-05 17:22:08,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=9, n_init=10, max_iter=300",0.5429039001464844,42,0.34927374235542763,57609.417907431176,0.9532482376488964,OK,,
2026-06-05 17:22:20,R-EUCLID-robust-weighted-withADR,117430 (Full matrix),kmeans,"k=10, n_init=10, max_iter=300",0.5669107437133789,42,0.3322464974950885,55422.38876648793,0.9988057622896281,OK,,
2026-06-05 17:22:35,R-EUCLID-robust-weighted-noADR,117430 (Full matrix),kmeans,"k=2, n_init=10, max_iter=300",0.10332107543945312,42,0.45444680286530736,44698.787018667834,0.7313962059064081,OK,,
